,車站種類,車站編號,車站名稱,村里數量,納稅單位,綜合所得總額,所得平均,戶數,人口,男性人口,女性人口,0-14歲人口,15-64歲人口,65歲以上人口,15-19歲人口,20-24歲人口,25-29歲人口,30-34歲人口,35-39歲人口,40-44歲人口,45-49歲人口,50-54歲人口,55-59歲人口,60-64歲人口,博士人口,碩士人口,大學院校人口,專科人口,高中職人口,國中初職人口,小學人口,不識字人口,未婚人口,有偶人口,出生數,死亡數,遷入人口,遷出人口
82,tp_mrt,LG02,台北捷運植物園站,142,73676.0,8893574.0,5682.0,97075.0,232493.0,111367.0,121131.0,30519.0,157829.0,44153.0,10335.0,12099.0,12962.0,14064.0,18962.0,19626.0,17424.0,17377.0,17750.0,17245.0,3371.0,23276.0,68990.0,25696.0,48798.0,15814.0,14654.0,985.0,98886.0,103369.0,1725.0,1731.0,12838.0,14225.0
83,tp_mrt,LG03,台北捷運廈安站,145,72889.0,8366005.0,5549.0,96955.0,234054.0,112540.0,121521.0,30286.0,161063.0,42710.0,10592.0,12470.0,13444.0,14534.0,19374.0,20061.0,17810.0,17609.0,17876.0,17305.0,2843.0,21501.0,67335.0,26050.0,51154.0,17467.0,15926.0,1090.0,99910.0,103536.0,1737.0,1686.0,12522.0,13588.0
84,tp_mrt,LG04,台北捷運加蚋站,171,82583.0,8749452.0,6127.0,111043.0,270826.0,130185.0,140648.0,33804.0,189634.0,47395.0,12609.0,14849.0,16165.0,17184.0,22483.0,23500.0,21151.0,20576.0,20897.0,20238.0,2494.0,22230.0,75172.0,30901.0,62259.0,22300.0,19824.0,1376.0,115860.0,119092.0,1943.0,1885.0,13217.0,13935.0
85,tp_mrt,LG05,台北捷運永和站,201,93961.0,9626979.0,7042.0,126283.0,308006.0,148209.0,159804.0,35691.0,217680.0,54645.0,14192.0,17171.0,18803.0,19692.0,25307.0,26361.0,23951.0,23863.0,24553.0,23800.0,2690.0,24319.0,86431.0,36239.0,73591.0,25482.0,21585.0,1492.0,130798.0,135666.0,2106.0,2179.0,14615.0,15319.0
86,tp_mrt,LG06,台北捷運中和站,190,82993.0,7964583.0,6277.0,112017.0,278107.0,133943.0,144169.0,31676.0,199012.0,47434.0,13121.0,15949.0,17484.0,18080.0,23049.0,24126.0,21703.0,21463.0,22279.0,21769.0,1754.0,19212.0,75311.0,33280.0,69549.0,25164.0,20365.0,1374.0,118804.0,121823.0,1843.0,1887.0,12096.0,12343.0
87,tp_mrt,LG07,台北捷運雙和醫院站,157,72036.0,6857239.0,5122.0,96602.0,244052.0,117863.0,126197.0,28454.0,176874.0,38741.0,11855.0,14379.0,15706.0,16210.0,20681.0,21618.0,19269.0,18823.0,19482.0,18867.0,1380.0,15836.0,64576.0,28864.0,61788.0,23652.0,18049.0,1135.0,104979.0,107091.0,1644.0,1537.0,10350.0,10307.0
88,tp_mrt,LG08,台北捷運中和高中站,146,67685.0,6373546.0,4711.0,90210.0,232561.0,112752.0,119811.0,28577.0,169944.0,34052.0,11627.0,13970.0,15441.0,15996.0,20237.0,20913.0,18172.0,17559.0,18290.0,17747.0,1174.0,14341.0,59459.0,27101.0,58905.0,24063.0,17548.0,1095.0,101203.0,101620.0,1629.0,1354.0,9483.0,9190.0
89,tp_mrt,LG08A,台北捷運莒光站,147,66010.0,5997403.0,4609.0,87880.0,229380.0,111868.0,117517.0,28699.0,167696.0,32994.0,11391.0,13731.0,15536.0,16281.0,20683.0,20656.0,17217.0,16771.0,17834.0,17605.0,1052.0,13339.0,57145.0,26036.0,58242.0,25333.0,18109.0,1124.0,100236.0,99871.0,1675.0,1330.0,9061.0,8620.0
90,tp_mrt,LG09,台北捷運廷寮站,113,52545.0,4730888.0,3517.0,68666.0,181102.0,88258.0,92848.0,22560.0,133612.0,24943.0,9144.0,11174.0,12605.0,13014.0,16401.0,16254.0,13584.0,13392.0,14282.0,13762.0,785.0,10238.0,44969.0,20551.0,46491.0,20422.0,14017.0,851.0,79257.0,78819.0,1350.0,1016.0,7328.0,6851.0
91,tp_mrt,LG10,台北捷運清水站,98,46424.0,4111512.0,2984.0,60944.0,160769.0,78659.0,82117.0,19719.0,119550.0,21511.0,8076.0,10111.0,11472.0,11875.0,14623.0,14275.0,11819.0,11977.0,12959.0,12359.0,652.0,8845.0,39673.0,17954.0,41718.0,18608.0,12643.0,742.0,70418.0,69695.0,1229.0,886.0,6457.0,6109.0
92,tp_mrt,LG11,台北捷運土城站,65,34610.0,3004349.0,1940.0,44904.0,120998.0,59344.0,61654.0,15414.0,91578.0,14012.0,6432.0,8163.0,9215.0,8965.0,10812.0,10591.0,8965.0,9427.0,10048.0,8955.0,407.0,6058.0,29494.0,13000.0,32423.0,14370.0,9148.0,522.0,53908.0,51858.0,933.0,639.0,4770.0,4609.0
93,tp_mrt,LG12,台北捷運埤塘站,52,27311.0,2340591.0,1536.0,35497.0,96034.0,47243.0,48794.0,12231.0,72752.0,11057.0,5210.0,6663.0,7419.0,7078.0,8365.0,8239.0,7144.0,7558.0,8029.0,7044.0,322.0,4781.0,23401.0,10182.0,25999.0,11309.0,7254.0,427.0,42994.0,41023.0,748.0,520.0,3651.0,3722.0
94,tp_mrt,LG13,台北捷運中華中學站,69,35149.0,3011578.0,2034.0,45801.0,123187.0,60498.0,62690.0,15597.0,92821.0,14780.0,6636.0,8325.0,9288.0,9021.0,10859.0,10730.0,9167.0,9587.0,10127.0,9073.0,420.0,6201.0,29972.0,13181.0,33165.0,14374.0,9568.0,540.0,54815.0,52846.0,943.0,675.0,4810.0,4691.0
